R0, Snf4_[Sip2]_ppi+_Sip2_[ASC]
R1, Mig1_[SUC2gene]_i-_SUC2gene_[Mig1]
R2, XX_nimp_Mig1
R3, Snf4_[Gal83]_ppi+_Gal83_[GBD]
R4, Glc7_[Reg1]_ppi-_Reg1_[Glc7]
R5, Snf1_[Cterminus]_ppi-_Snf4_[Snf1]
R6, Sak1_[Snf1]_ppi-_Snf1_[Sak1]
R7, Snf1_[Snf1RD]_ppi+_Sip2_[Snf1]
R8, IR_ap+_IR_[JM(Y972)]
R9, Snf4_[Sip2]_ppi-_Sip2_[ASC]
R10, Gal83_[Snf4]_ppi-_Snf4_[Gal83]
R11, Glc7_p-_Mig1_[(Glc7)]
R12, Snf1_nexp_Mig1
R13, Sak1_p+_Snf1_[activationloop(Thr210)]
R14, Elm1_p+_Snf1_[activationloop(Thr210)]
R15, Snf4_[Sip1]_ppi+_Sip1_[ASC]
R16, Hxk2_[K6M15]_ppi+_Mig1_[hxk2]
R17, Snf1_[Snf1RD]_ppi+_Gal83_[Snf1]
R18, Glc7_p-_Snf1_[activationloop(Thr210)]
R19, Mig1C_[dnab]_bind-_SUC2geneGene_[Mig1C]
R20, Sip1_[Snf4]_ppi+_Snf4_[Sip1]
R21, Snf1_[Cterminus]_ppi+_Snf4_[Snf1]
R22, XX_p+_Snf1_[activationloop(Ser214)]
R23, Snf1_[Snf1RD]_ppi-_Sip2_[Snf1]
R24, Sak1_[Snf1]_ppi+_Snf1_[Sak1]
R25, Insulin_[IR]_i+_IR_[IBD]
R26, xx_nimp_Hxk2
R27, Insulin_[IR]_i-_IR_[IBD]
R28, Snf4_[Sip1]_ppi-_Sip1_[ASC]
R29, Glc7_[Reg1]_ppi+_Reg1_[Glc7]
R30, Hxk2_[K6M15]_ppi-_Mig1_[hxk2]
R31, Snf1_p+_Mig1_[(Snf1)]
R32, Tos3_p+_Snf1_[activationloop(Thr210)]
R33, Snf1_[Snf1RD]_ppi-_Sip1_[Snf1]
R34, Snf4_[CBS]_i+_ADP_[Snf4]
R35, Snf1_[Snf1RD]_ppi+_Sip1_[Snf1]
R36, Sip2_[Snf4]_ppi+_Snf4_[Sip2]
R37, Snf4_[CBS]_i-_ADP_[Snf4]
R38, Mig1_[SUC2gene]_i+_SUC2gene_[Mig1]
R39, Gal83_[Snf4]_ppi+_Snf4_[Gal83]
R40, POLII_trsc_SUC2geneGene
R41, Snf1_[Snf1RD]_ppi-_Gal83_[Snf1]
R42, Mig1C_[dnab]_bind+_SUC2geneGene_[Mig1C]
R43, Snf4_[Gal83]_ppi-_Gal83_[GBD]
R44, Sip2_[Snf4]_ppi-_Snf4_[Sip2]
R45, Sip1_[Snf4]_ppi-_Snf4_[Sip1]
S0, Gal83_[Snf4]--Snf4_[Gal83]
S1, Snf4_[Gal83]--0
S2, Snf4_[Gal83]--Gal83_[GBD]
S3, Snf4_[CBS]--ADP_[Snf4]
S4, Snf4_[CBS]--0
S5, Snf4_[Sip2]--Sip2_[ASC]
S6, Snf4_[Sip2]--0
S7, Sip2_[Snf4]--Snf4_[Sip2]
S8, Snf1_[Cterminus]--Snf4_[Snf1]
S9, Snf4_[Snf1]--0
S10, Sip1_[Snf4]--Snf4_[Sip1]
S11, Snf4_[Sip1]--Sip1_[ASC]
S12, Snf4_[Sip1]--0
S13, Sip2_[ASC]--0
S14, Sip2_[Snf4]--0
S15, Snf1_[Snf1RD]--Sip2_[Snf1]
S16, Sip2_[Snf1]--0
S17, Mig1_[(loc)]-{nucleus}
S18, Mig1_[(loc)]-{0}
S19, Mig1_[SUC2gene]--0
S20, Mig1_[SUC2gene]--SUC2gene_[Mig1]
S21, Mig1_[hxk2]--0
S22, Hxk2_[K6M15]--Mig1_[hxk2]
S23, Mig1_[(Snf1)]-{p}
S24, Mig1_[(Snf1)]-{0}
S25, Mig1_[(Glc7)]-{0}
S26, Mig1_[(Glc7)]-{p}
S27, SUC2gene_[Mig1]--0
S28, XX
S29, Snf1_[Snf1RD]--Gal83_[Snf1]
S30, Gal83_[Snf1]--0
S31, Gal83_[GBD]--0
S32, Gal83_[Snf4]--0
S33, Glc7_[Reg1]--0
S34, Glc7_[Reg1]--Reg1_[Glc7]
S35, Reg1_[Glc7]--0
S36, Snf1_[activationloop(Thr210)]-{p}
S37, Snf1_[activationloop(Thr210)]-{0}
S38, Snf1_[Cterminus]--0
S39, Snf1_[Sak1]--0
S40, Sak1_[Snf1]--Snf1_[Sak1]
S41, Snf1_[activationloop(Ser214)]-{0}
S42, Snf1_[activationloop(Ser214)]-{p}
S43, Snf1_[Snf1RD]--0
S44, Snf1_[Snf1RD]--Sip1_[Snf1]
S45, Sak1_[Snf1]--0
S46, Insulin_[IR]--IR_[IBD]
S47, IR_[JM(Y972)]-{0}
S48, IR_[JM(Y972)]-{p}
S49, IR_[IBD]--0
S50, Elm1
S51, Sip1_[ASC]--0
S52, Sip1_[Snf1]--0
S53, Sip1_[Snf4]--0
S54, Hxk2_[K6M15]--0
S55, Hxk2_[(loc)]-{0}
S56, Hxk2_[(loc)]-{nucleus}
S57, Mig1C_[dnab]--SUC2geneGene_[Mig1C]
S58, Mig1C_[dnab]--0
S59, SUC2geneGene_[Mig1C]--0
S60, Insulin_[IR]--0
S61, xx
S62, Tos3
S63, ADP_[Snf4]--0
S64, POLII
S65, SUC2genemRNA
