R0, Gpa2_[Gpr1]_ppi-_Gpr1_[Gpa2]
R1, PDE_deg_cAMP
R2, Cyr1_syn_cAMP
R3, Bcy_[cAMP]_i-_cAMP_[Bcy]
R4, Rim15_p+_Igo1_[(phospho)]
R5, Cdc25_[Glu]_ppi-_Glu_[Cdc25]
R6, Cyr1_[Ras]_ppi-_Ras_[RAD]
R7, Gpa2_[Gpb1]_ppi+_Gpb1_[Gpa2]
R8, TFIIIA_[boxC]_bind+_boxCGene_[TFIIIA]
R9, Gpa2_[Gpb1]_ppi-_Gpb1_[Gpa2]
R10, Rgs2_gap_Gpa2_[(G)]
R11, [cAMP]
R12, Bcy_[cAMP]_i+_cAMP_[Bcy]
R13, Gpb1_[Ira]_ppi-_Ira_[Gpb1]
R14, TFIIIA_[DNAbindingsite]_bind+_boxCGene_[TFIIIA]
R15, Tpk_p+_Rim15_[(phospho)]
R16, TFIIIA_[DNAbindingsite]_bind-_boxCGene_[TFIIIA]
R17, TFIIIB_[TFIIIC]_ppi-_TFIIIC_[TFIIIB]
R18, Gpb1_[Ira]_ppi+_Ira_[Gpb1]
R19, PDE_deg_cAMP#0/1
R20, Gpa2_[Gpr1]_ppi+_Gpr1_[Gpa2]
R21, Maf1_[repressionsite]_ppi+_TFIIIB_[Maf1]
R22, Ira_gap_Ras_[(G)]
R23, Cyr1_[Gpa2]_ppi+_Gpa2_[RAD]
R24, Glu_[Gpr1]_ppi+_Gpr1_[Glu]
R25, TFIIIA_[TFIIIC]_ppi+_TFIIIC_[TFIIIA]
R26, TFIIIA_[TFIIIB]_ppi+_TFIIIB_[TFIIIA]
R27, Rim15_p+_Igo2_[(phospho)]
R28, TFIIIA_[TFIIIB]_ppi-_TFIIIB_[TFIIIA]
R29, Cyr1_[Ras]_ppi+_Ras_[RAD]
R30, Bcy_[Tpk]_ppi+_Tpk_[Bcy]
R31, PPA2_p-_Maf1_[(phospho)]
R32, TFIIIB_[TFIIIC]_ppi+_TFIIIC_[TFIIIB]
R33, [Bcy]
R34, Maf1_[repressionsite]_ppi-_TFIIIB_[Maf1]
R35, Cyr1_[Gpa2]_ppi-_Gpa2_[RAD]
R36, TFIIIB_syn_s5
R37, TFIIIA_[TFIIIC]_ppi-_TFIIIC_[TFIIIA]
R38, Gpr1_gef_Gpa2_[(G)]
R39, Cdc25_gef_Ras_[(G)]
R40, Tpk_p+_PDE_[(phospho)]
R41, Tpk_p+_Maf1_[(phospho)]
R42, Cdc25_[Glu]_ppi+_Glu_[Cdc25]
R43, TFIIIA_[boxC]_bind-_boxCGene_[TFIIIA]
R44, NucImp_nimp_Rim15
R45, Bcy_[Tpk]_ppi-_Tpk_[Bcy]
R46, Glu_[Gpr1]_ppi-_Gpr1_[Glu]
R47, NucImp2_nimp_Maf1
S0, Cyr1_[Gpa2]--Gpa2_[RAD]
S1, Gpa2_[RAD]--0
S2, Gpa2_[(G)]-{0}
S3, Gpa2_[(G)]-{gtp}
S4, Gpa2_[Gpb1]--Gpb1_[Gpa2]
S5, Gpa2_[Gpb1]--0
S6, Gpa2_[Gpr1]--0
S7, Gpa2_[Gpr1]--Gpr1_[Gpa2]
S8, Glu_[Gpr1]--Gpr1_[Glu]
S9, Gpr1_[Glu]--0
S10, Gpr1_[Gpa2]--0
S11, PDE_[(phospho)]-{p}
S12, PDE_[(phospho)]-{0}
S13, cAMP_[Bcy]--0
S14, Bcy_[cAMP]--cAMP_[Bcy]
S15, Cyr1_[Ras]--Ras_[RAD]
S16, Cyr1_[Ras]--0
S17, Cyr1_[Gpa2]--0
S18, Bcy_[cAMP]--0
S19, Bcy_[Tpk]--Tpk_[Bcy]
S20, Bcy_[Tpk]--0
S21, Rim15_[(loc)]-{nucleus}
S22, Rim15_[(phospho)]-{p}
S23, Rim15_[(phospho)]-{0}
S24, Rim15_[(loc)]-{0}
S25, Igo1_[(phospho)]-{p}
S26, Igo1_[(phospho)]-{0}
S27, Cdc25_[Glu]--0
S28, Cdc25_[Glu]--Glu_[Cdc25]
S29, Glu_[Gpr1]--0
S30, Glu_[Cdc25]--0
S31, Ras_[(G)]-{gtp}
S32, Ras_[(G)]-{0}
S33, Ras_[RAD]--0
S34, Gpb1_[Ira]--Ira_[Gpb1]
S35, Gpb1_[Ira]--0
S36, Gpb1_[Gpa2]--0
S37, Maf1_[repressionsite]--TFIIIB_[Maf1]
S38, TFIIIA_[DNAbindingsite]--0
S39, TFIIIA_[DNAbindingsite]--boxCGene_[TFIIIA]
S40, TFIIIA_[TFIIIB]--0
S41, TFIIIA_[TFIIIB]--TFIIIB_[TFIIIA]
S42, TFIIIA_[TFIIIC]--0
S43, TFIIIA_[TFIIIC]--TFIIIC_[TFIIIA]
S44, TFIIIA_[boxC]--boxCGene_[TFIIIA]
S45, TFIIIA_[boxC]--0
S46, boxCGene_[TFIIIA]--0
S47, Rgs2
S48, Ira_[Gpb1]--0
S49, Tpk_[Bcy]--0
S50, TFIIIB_[Maf1]--0
S51, TFIIIB_[TFIIIA]--0
S52, TFIIIB_[TFIIIC]--0
S53, TFIIIB_[TFIIIC]--TFIIIC_[TFIIIB]
S54, TFIIIC_[TFIIIA]--0
S55, TFIIIC_[TFIIIB]--0
S56, Maf1_[(loc)]-{nucleus}
S57, Maf1_[(phospho)]-{p}
S58, Maf1_[(phospho)]-{0}
S59, Maf1_[(loc)]-{0}
S60, Maf1_[repressionsite]--0
S61, Igo2_[(phospho)]-{p}
S62, Igo2_[(phospho)]-{0}
S63, PPA2
S64, NucImp
S65, NucImp2
S66, s5
